formula,target
C3N6Rb6,0.33
C2AuRb,0.24
Er,2.25
AlRe2,0.27
Lu7Ni2Te2,0.27
DyNi5,0.29
C2Sm,0.34
Al2Pt,0.36
Ca2Ge2Zn2,0.19
AlCr2,0.27
MnO6Pt3,0.34
F8Pd4,0.68
AgInO2,0.37
H2Sm,0.24
Ba2Ge4,0.24
PSc,0.24
Mo2S4,0.22
Nd,0.37
Cl36N12,0.36
Ga3Mg3Y3,0.18
Sn8Ta4,0.29
BiK3,0.24
C2B18,0.25
H,0.59
C4B4Sm2,0.21
Ca4Cl8O24,0.25
F6KRu,0.38
Cu2O7P2,0.25
Li3Pt,0.41
PbPtZr,0.44
Pr2Tm6,0.25
Li3Nd,0.59
Li3Pd,0.25
InK3,0.66
HgK3,0.32
Se6Ta4,0.27
Mo2N2,0.4
CrNi3,0.66
CuNNi3,0.35
Si2Te2Th2,0.39
C2AuK,0.3
AsTm,0.22
Au2Ga2O4,0.32
Au4Mg8,0.33
Au2Mn,0.39
Er2Ni2Si4,0.27
AuMn,0.37
CInY3,0.18
BaO3Ti,0.44
DyGa2,0.19
CHo3Tl,0.37
I4Sb4Se4,0.38
B2I6,0.33
AgBr,0.39
Sr2Tl4,0.32
Ir4Sn16,0.29
Ge2Te2Zr2,0.2
LiMgP,0.19
Cu2La4O8,0.31
B2Co8Nd2,0.31
Se4Ta2,0.25
Ru2Sn4,0.28
P2,1.67
B2CeRh3,0.27
SrZn5,0.26
Cu2Te16Y8,0.29
CaHgO2,0.4
O16Sc8Sr4,0.26
AlHo2Zn,0.26
Hg2TbYb,0.3
CdHg2Yb,0.44
MgRuSc2,0.41
Ni6Ta2,0.33
Ba2HfS4,0.28
Nd3Pd,0.49
Al2LiTc,0.3
H2W2,0.27
CRu,0.39
MgP2Si,0.58
C4Re2,0.26
InPPt5,0.38
MnNb2S4,0.37
N8Sr8Ti2,0.3
TlYb,0.25
CoCu2Se4Sn,0.33
Lu2O8Ta2,0.3
Cd2Pd2,0.33
Pd8Sn4,0.42
Ni2Te2,0.35
FeSbZn,0.84
CMn3Sn,0.27
SeTh,0.38
Ag4F8,0.34
Bi8Se12,-0.02
H2Se,-11.06
F8O4Se4,0.24
B12P2,0.14
Pd2Se4Tl4,0.39
Ca16Ge8N16,0.22
Au6Cd10,0.37
O3U,0.32
F12Na4Zn4,0.33
B2Co4,0.31
Ga6Te6,0.22
Cl6K2W,0.35
Br6Rb2Sn,-0.76
C4,0.19
Cl6Ti2,0.28
CdEu,0.21
CB2ErNi2,0.3
CuIrTl,0.31
AsCu3Se4,0.34
Ta,0.23
La2O7Th2,0.3
LiO2Tm,0.32
Co2Te2,0.3
F8O8S4,0.24
MgPrZn2,0.24
AcCaZn2,0.27
IrLiNd2,0.34
CaLi2Sn,0.07
As2Ca4O,0.2
Ga2P2,0.23
MgTlY,0.04
Rb3Sn,-0.62
Pb2Se4,0.12
Ag2Cd2O4,0.38
C2Nb4S2,0.28
NZn,0.35
CAlEr3,0.31
MgTe,0.25
B4Mn3,0.21
Ba3BiN,0.21
K2Sn,-0.21
Al3Yb,0.15
Mo2Rh2,0.28
Ba2Li2P2,0.2
Be2Pd6,0.39
Ce2Zn4,0.29
Co2GeLi,0.24
B2Y,0.15
Cu2Se,0.46
Ca2Cu2In4,0.24
Cu4Si4Ti4,0.28
Sn4Y4Zn4,0.23
Al12La3,0.32
CNd3Tl,0.39
In2Pt,0.36
IrTe2,0.32
Br2Nd2O2,0.18
H4K2Mg,0.2
AlI2Pd5,0.23
Al16Te24,0.2
Hg4K2,0.54
Cu2Si2Y,0.24
K2O4U,0.29
Ge2Ni2Y,0.29
Te3,0.22
B4V3,0.17
Co2DySi2,0.23
Rb4,0.34
Co46,0.51
Cd2Ge2O6,-0.15
Cu2O2,0.42
H2Dy2O4,0.37
Er4Ge4Mg2,0.21
Os2Tc6,0.27
AuMg2Rh,-2.92
InRh2Ti,0.87
GeSe8V4,0.23
O3SbTe,0.44
SbSc3,0.25
AlFeTi2,0.37
N2Pr2,0.34
AsB,0.13
H2MgNi,0.24
N4Ta2,0.26
Cu4InTm,0.27
Mo4S6Se2,0.22
Ca4N8Si4,0.31
Cd2La,0.28
Cd2Te2,0.33
Li6Sn6,0.3
As6Rb4,0.17
Al12Ru2,0.28
Mg3Pt3Sm3,0.37
SnTe,0.22
Fe2O6Sr3,0.28
NiO,0.35
Mn2Ni2O6,0.28
Al2O8W2,0.26
O2Pu,0.32
Cd2EuSb2,0.29
Pt4Sn4Sr4,0.32
As2Nb2,0.27
Ni4Sb4Zr4,0.32
As2Fe2Li2,0.25
Se2Sn2,0.28
As4Co4Rh4,0.35
Al6Hf10,0.31
H2Zr,0.4
Ga4S4Te2,0.21
GaN,0.23
C6Mg4,0.28
Au2K2Se4,-0.05
AuLi2Sn,0.32
AlFe2Mn,0.24
Be4Ca2Ge4,0.17
AlSiSr,0.2
C2NiTm,0.24
AlF4Rb,0.28
Cs2F6TlV,0.42
Lu4Os8,0.37
Bi2Te3,-4.13
B6Tm,0.37
Al16Cu36,0.27
Cu6Ti4,0.31
